2022-11-16 22:28:09,823 INFO    Thread-389:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'c8dx6cru', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-c8dx6cru.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_222809-c8dx6cru/logs/debug.log
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_222809-c8dx6cru/logs/debug-internal.log
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 96, 'dropout': 0.3083917895100457, 'epochs': 73, 'learning_rate': 0.006716760276223044, 'size_1': 160, 'size_2': 224, 'size_3': 128, 'size_4': 114, 'size_5': 99}
config: {}
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:init():569] starting backend
2022-11-16 22:28:09,824 INFO    Thread-389:143091 [wandb_init.py:init():573] setting up manager
2022-11-16 22:28:09,827 INFO    Thread-389:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 22:28:09,829 INFO    Thread-389:143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 22:28:09,839 INFO    Thread-389:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 96, 'dropout': 0.3083917895100457, 'epochs': 73, 'learning_rate': 0.006716760276223044, 'size_1': 160, 'size_2': 224, 'size_3': 128, 'size_4': 114, 'size_5': 99}
2022-11-16 22:28:09,841 INFO    Thread-389:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 22:28:09,841 INFO    Thread-389:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 22:28:09,841 INFO    Thread-389:143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 22:28:09,885 INFO    Thread-389:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 22:28:10,129 INFO    Thread-389:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 22:28:10,169 INFO    Thread-389:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 22:28:10,169 INFO    Thread-389:143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 22:28:13,318 INFO    Thread-389:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 22:28:13,318 INFO    Thread-389:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 22:28:13,318 INFO    Thread-389:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 22:28:13,318 INFO    Thread-389:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 22:28:13,319 INFO    Thread-389:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 22:31:11,486 INFO    Thread-389:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/c8dx6cru
2022-11-16 22:31:11,487 INFO    Thread-389:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 22:31:11,487 INFO    Thread-389:143091 [wandb_run.py:_restore():1932] restore
2022-11-16 22:31:11,487 INFO    Thread-389:143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 22:31:17,389 INFO    Thread-389:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 22:31:17,390 INFO    Thread-389:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 22:31:17,393 INFO    Thread-389:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
