2022-11-16 23:37:47,812 INFO    Thread-888:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': '6jv4vhee', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-6jv4vhee.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_233747-6jv4vhee/logs/debug.log
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_233747-6jv4vhee/logs/debug-internal.log
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.05787123878835984, 'epochs': 21, 'learning_rate': 0.04809218422029792, 'size_1': 218, 'size_2': 152, 'size_3': 68, 'size_4': 190, 'size_5': 191}
config: {}
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:init():569] starting backend
2022-11-16 23:37:47,813 INFO    Thread-888:143091 [wandb_init.py:init():573] setting up manager
2022-11-16 23:37:47,816 INFO    Thread-888:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 23:37:47,819 INFO    Thread-888:143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 23:37:47,830 INFO    Thread-888:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.05787123878835984, 'epochs': 21, 'learning_rate': 0.04809218422029792, 'size_1': 218, 'size_2': 152, 'size_3': 68, 'size_4': 190, 'size_5': 191}
2022-11-16 23:37:47,832 INFO    Thread-888:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 23:37:47,832 INFO    Thread-888:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 23:37:47,832 INFO    Thread-888:143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 23:37:47,910 INFO    Thread-888:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 23:37:48,232 INFO    Thread-888:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 23:37:48,265 INFO    Thread-888:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 23:37:48,265 INFO    Thread-888:143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 23:37:51,452 INFO    Thread-888:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 23:37:51,453 INFO    Thread-888:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 23:37:51,453 INFO    Thread-888:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 23:37:51,453 INFO    Thread-888:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 23:37:51,453 INFO    Thread-888:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 23:38:41,952 INFO    Thread-888:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/6jv4vhee
2022-11-16 23:38:41,952 INFO    Thread-888:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 23:38:41,953 INFO    Thread-888:143091 [wandb_run.py:_restore():1932] restore
2022-11-16 23:38:41,953 INFO    Thread-888:143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 23:38:47,277 INFO    Thread-888:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 23:38:47,277 INFO    Thread-888:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 23:38:47,280 INFO    Thread-888:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
